title,release_date,revenue,budget,return,crew
The Matrix Reloaded,2003-05-15,738599701.0,150000000.0,4.923998006666666,Lilly Wachowski
The Matrix Reloaded,2003-05-15,738599701.0,150000000.0,4.923998006666666,Lana Wachowski
The Matrix Revolutions,2003-11-05,424988211.0,150000000.0,2.83325474,Lilly Wachowski
The Matrix Revolutions,2003-11-05,424988211.0,150000000.0,2.83325474,Lana Wachowski
Out of Africa,1985-12-20,128499205.0,31000000.0,4.14513564516129,Sydney Pollack
Men in Black,1997-07-02,589390539.0,90000000.0,6.548783766666666,Barry Sonnenfeld
Men in Black II,2002-07-03,441818803.0,140000000.0,3.1558485928571427,Barry Sonnenfeld
Poltergeist,1982-06-04,122200000.0,10700000.0,11.42056074766355,Tobe Hooper
Munich,2005-12-22,130358911.0,70000000.0,1.862270157142857,Steven Spielberg
Downfall,2004-09-08,92180910.0,18339750.0,5.026290434711488,Oliver Hirschbiegel
Wild Strawberries,1957-12-26,0.0,0.0,0.0,Ingmar Bergman
The Passion of the Christ,2004-02-25,611899420.0,30000000.0,20.39664733333333,Mel Gibson
The Last Samurai,2003-12-05,456758981.0,140000000.0,3.26256415,Edward Zwick
Wild Things,1998-03-20,67200000.0,20000000.0,3.36,John McNaughton
The Birth of a Nation,1915-02-08,11000000.0,100000.0,110.0,D.W. Griffith
The Bodyguard,1992-11-25,411006740.0,25000000.0,16.4402696,Mick Jackson
Ghostbusters,1984-06-07,295212467.0,30000000.0,9.840415566666668,Ivan Reitman
Grease,1978-07-07,181813770.0,6000000.0,30.302295,Randal Kleiser
The Ninth Gate,1999-08-24,58401898.0,38000000.0,1.536892052631579,Roman Polanski
A Fish Called Wanda,1988-07-15,62493712.0,7500000.0,8.332494933333333,Charles Crichton
Easy Rider,1969-05-07,0.0,360000.0,0.0,Dennis Hopper
The Killing Fields,1984-11-02,34700291.0,14400000.0,2.409742430555556,Roland Joffé
Un chien andalou,1929-06-05,0.0,0.0,0.0,Luis Buñuel
Trainspotting,1996-02-23,16491080.0,4000000.0,4.12277,Danny Boyle
Interview with the Vampire,1994-11-11,223664608.0,60000000.0,3.7277434666666656,Neil Jordan
The Usual Suspects,1995-07-19,23341568.0,6000000.0,3.890261333333333,Bryan Singer
The Wizard of Oz,1939-08-15,33754967.0,2777000.0,12.15519157364062,Victor Fleming
Sunrise: A Song of Two Humans,1927-09-23,121.0,0.0,0.0,F.W. Murnau
Stalag 17,1953-05-29,0.0,1661530.0,0.0,Billy Wilder
Soldier of Orange,1977-09-22,0.0,2300000.0,0.0,Paul Verhoeven
Bridget Jones's Diary,2001-04-13,281929795.0,25000000.0,11.2771918,Sharon Maguire
Angel Heart,1987-03-06,17185632.0,17000000.0,1.0109195294117648,Alan Parker
THX 1138,1971-03-11,2437000.0,777000.0,3.1364221364221363,George Lucas
Life Is Beautiful,1997-12-20,229400000.0,20000000.0,11.47,Roberto Benigni
Lost Highway,1997-01-15,3675201.0,15000000.0,0.2450134,David Lynch
When Harry Met Sally...,1989-07-21,92823546.0,16000000.0,5.801471625,Rob Reiner
Catch Me If You Can,2002-12-25,352114312.0,52000000.0,6.771429076923077,Steven Spielberg
Requiem for a Dream,2000-10-27,7390108.0,4500000.0,1.6422462222222225,Darren Aronofsky
Butch Cassidy and the Sundance Kid,1969-09-23,102308889.0,6000000.0,17.0514815,George Roy Hill
Battleship Potemkin,1925-12-24,45100.0,0.0,0.0,Sergei M. Eisenstein
A.I. Artificial Intelligence,2001-06-29,235926552.0,100000000.0,2.35926552,Steven Spielberg
Dr. No,1962-10-04,59600000.0,950000.0,62.73684210526316,Terence Young
Final Fantasy VII: Advent Children,2005-07-14,0.0,0.0,0.0,Tetsuya Nomura
Final Fantasy VII: Advent Children,2005-07-14,0.0,0.0,0.0,Takeshi Nozue
Beauty and the Beast,1946-10-29,0.0,0.0,0.0,Jean Cocteau
Belle de Jour,1967-05-24,0.0,0.0,0.0,Luis Buñuel
Boyz n the Hood,1991-07-12,57504069.0,6500000.0,8.846779846153845,John Singleton
M*A*S*H,1970-01-24,81600000.0,3500000.0,23.314285714285717,Robert Altman
Troy,2004-05-13,497409852.0,175000000.0,2.842342011428572,Wolfgang Petersen
Nosferatu,1922-03-15,0.0,0.0,0.0,F.W. Murnau
On the Waterfront,1954-06-22,9600000.0,910000.0,10.54945054945055,Elia Kazan
"Paris, Texas",1984-05-19,2181987.0,1746964.0,1.2490165796204158,Wim Wenders
From Russia with Love,1963-10-11,78898765.0,2000000.0,39.4493825,Terence Young
Goldfinger,1964-09-17,124881062.0,2500000.0,49.9524248,Guy Hamilton
The Tin Drum,1979-05-02,0.0,0.0,0.0,Volker Schlöndorff
Thunderball,1965-12-16,141195658.0,5500000.0,25.671937818181817,Terence Young
The Marriage of Maria Braun,1979-02-20,0.0,0.0,0.0,Rainer Werner Fassbinder
La Jetée,1962-02-16,0.0,0.0,0.0,Chris Marker
Saw IV,2007-10-25,139352633.0,10000000.0,13.9352633,Darren Lynn Bousman
Twister,1996-05-10,494471524.0,92000000.0,5.374690478260869,Jan de Bont
Ben-Hur,1959-12-26,146900000.0,15000000.0,9.793333333333331,William Wyler
Central Station,1998-01-16,5596708.0,2900000.0,1.929899310344828,Walter Salles
You Only Live Twice,1967-06-12,111584787.0,9500000.0,11.74576705263158,Lewis Gilbert
On Her Majesty's Secret Service,1969-12-12,81974493.0,6500000.0,12.611460461538462,Peter R. Hunt
Nanook of the North,1922-06-11,0.0,53000.0,0.0,Robert J. Flaherty
Oldboy,2003-01-01,14980005.0,3000000.0,4.993335,Park Chan-wook
Harry Potter and the Philosopher's Stone,2001-11-16,976475550.0,125000000.0,7.8118044,Chris Columbus
Harry Potter and the Chamber of Secrets,2002-11-13,876688482.0,100000000.0,8.76688482,Chris Columbus
Harry Potter and the Prisoner of Azkaban,2004-05-31,789804554.0,130000000.0,6.075419646153846,Alfonso Cuarón
Harry Potter and the Goblet of Fire,2005-11-05,895921036.0,150000000.0,5.9728069066666665,Mike Newell
Harry Potter and the Order of the Phoenix,2007-06-28,938212738.0,150000000.0,6.254751586666667,David Yates
Pearl Harbor,2001-05-21,449220945.0,140000000.0,3.208721035714286,Michael Bay
Olympia Part One: Festival of the Nations,1938-04-20,0.0,0.0,0.0,Leni Riefenstahl
Out of the Past,1947-11-13,0.0,0.0,0.0,Jacques Tourneur
Aliens,1986-07-18,183316455.0,18500000.0,9.908997567567567,James Cameron
Pulp Fiction,1994-09-10,213928762.0,8000000.0,26.74109525,Quentin Tarantino
Diamonds Are Forever,1971-12-13,116019547.0,7200000.0,16.113825972222223,Guy Hamilton
The Man with the Golden Gun,1974-12-01,97572000.0,7000000.0,13.938857142857144,Guy Hamilton
Olympia Part Two: Festival of Beauty,1938-04-20,0.0,0.0,0.0,Leni Riefenstahl
Contact,1997-07-11,171120329.0,90000000.0,1.901336988888889,Robert Zemeckis
Dead Man Walking,1995-12-29,39363635.0,11000000.0,3.5785122727272727,Tim Robbins
The Bridges of Madison County,1995-05-28,182016617.0,24000000.0,7.584025708333333,Clint Eastwood
The Travelling Players,1975-01-01,0.0,0.0,0.0,Theo Angelopoulos
Pickpocket,1959-12-16,0.0,0.0,0.0,Robert Bresson
The Spy Who Loved Me,1977-07-07,185438673.0,14000000.0,13.2456195,Lewis Gilbert
Pink Flamingos,1972-03-12,6000000.0,12000.0,500.0,John Waters
Meet the Fockers,2004-12-22,516642939.0,80000000.0,6.4580367375,Jay Roach
The Shining,1980-05-22,44017374.0,19000000.0,2.316703894736842,Stanley Kubrick
Short Cuts,1993-09-05,6110979.0,0.0,0.0,Robert Altman
Manhattan,1979-04-25,39946780.0,0.0,0.0,Woody Allen
October (Ten Days that Shook the World),1928-01-20,0.0,0.0,0.0,Sergei M. Eisenstein
October (Ten Days that Shook the World),1928-01-20,0.0,0.0,0.0,Grigori Aleksandrov
Moonraker,1979-06-26,210308099.0,34000000.0,6.185532323529412,Lewis Gilbert
For Your Eyes Only,1981-06-23,195312802.0,28000000.0,6.975457214285714,John Glen
Octopussy,1983-06-05,187500000.0,27500000.0,6.818181818181818,John Glen
Our Hospitality,1923-11-19,0.0,0.0,0.0,Buster Keaton
Our Hospitality,1923-11-19,0.0,0.0,0.0,John G. Blystone
A Streetcar Named Desire,1951-09-18,8000000.0,1800000.0,4.444444444444445,Elia Kazan
Annie Hall,1977-04-19,38251425.0,4000000.0,9.56285625,Woody Allen
A Hard Day's Night,1964-07-06,12299668.0,560000.0,21.963692857142856,Richard Lester
All About Eve,1950-11-09,63463.0,1400000.0,0.0453307142857142,Joseph L. Mankiewicz
Effi Briest,1974-06-20,0.0,0.0,0.0,Rainer Werner Fassbinder
A View to a Kill,1985-05-24,152427960.0,30000000.0,5.080932,John Glen
The Living Daylights,1987-06-29,191185897.0,40000000.0,4.779647425,John Glen
Licence to Kill,1989-07-07,156167015.0,32000000.0,4.88021921875,John Glen
GoldenEye,1995-11-16,352194034.0,58000000.0,6.072310931034483,Martin Campbell
Finding Forrester,2000-12-21,80049764.0,43000000.0,1.861622418604651,Gus Van Sant
Four Weddings and a Funeral,1994-03-09,254700832.0,6000000.0,42.45013866666667,Mike Newell
The Piano,1993-05-19,116700000.0,7000000.0,16.67142857142857,Jane Campion
Tomorrow Never Dies,1997-12-11,333011068.0,110000000.0,3.0273733454545453,Roger Spottiswoode
Together,2000-08-25,0.0,0.0,0.0,Lukas Moodysson
Top Gun,1986-05-16,356830601.0,15000000.0,23.78870673333333,Tony Scott
The Sixth Sense,1999-08-06,672806292.0,40000000.0,16.8201573,M. Night Shyamalan
The Last Emperor,1987-10-21,43984230.0,23000000.0,1.9123578260869565,Bernardo Bertolucci
Shaun of the Dead,2004-04-09,30039392.0,4000000.0,7.509848,Edgar Wright
Murder She Said,1961-01-01,0.0,0.0,0.0,George Pollock
Murder at the Gallop,1963-01-01,0.0,0.0,0.0,George Pollock
V for Vendetta,2006-03-15,132511035.0,54000000.0,2.4539080555555555,James McTeigue
Faces,1968-11-24,0.0,275000.0,0.0,John Cassavetes
Face/Off,1997-06-27,245676146.0,80000000.0,3.070951825,John Woo
From Dusk Till Dawn,1996-01-19,25836616.0,19000000.0,1.359821894736842,Robert Rodriguez
Fantasia,1940-11-13,83320000.0,2280000.0,36.54385964912281,Samuel Armstrong
Fantasia,1940-11-13,83320000.0,2280000.0,36.54385964912281,James Algar
Fantasia,1940-11-13,83320000.0,2280000.0,36.54385964912281,William Roberts
Fantasia,1940-11-13,83320000.0,2280000.0,36.54385964912281,Paul Satterfield
Fantasia,1940-11-13,83320000.0,2280000.0,36.54385964912281,Hamilton Luske
Fantasia,1940-11-13,83320000.0,2280000.0,36.54385964912281,Jim Handley
Fantasia,1940-11-13,83320000.0,2280000.0,36.54385964912281,Ford Beebe
Fantasia,1940-11-13,83320000.0,2280000.0,36.54385964912281,T. Hee
Fantasia,1940-11-13,83320000.0,2280000.0,36.54385964912281,Wilfred Jackson
Fantasia,1940-11-13,83320000.0,2280000.0,36.54385964912281,Ben Sharpsteen
Fantasia,1940-11-13,83320000.0,2280000.0,36.54385964912281,Norman Ferguson
Fantasia,1940-11-13,83320000.0,2280000.0,36.54385964912281,David Hand
Murder Most Foul,1964-03-01,0.0,0.0,0.0,George Pollock
Murder Ahoy,1964-06-01,0.0,0.0,0.0,George Pollock
